sample	experiment	type	growth_stage	stage_VR	cultivar	block	stage_develop	tissue	tissue_age	depth	tissue 2
R264	pot	rhizo	R1	R	s	3	bloom	below_subcrown	woody	NA	tap2
R265	pot	rhizo	R1	R	s	3	bloom	nod	nod	NA	nodule
R266	pot	rhizo	R1	R	s	3	bloom	ter	young	NA	tertiary
R267	pot	rhizo	R2	R	s	3	adv_bloom	tip	young	NA	tip
R268	pot	rhizo	R2	R	s	3	adv_bloom	tap1	young	NA	subtip (taproot)
R269	pot	rhizo	R2	R	s	3	adv_bloom	adjtip	young	NA	subtip (lateral)
R270	pot	rhizo	R2	R	s	3	adv_bloom	Lat1	woody	NA	lateral1
R271	pot	rhizo	R2	R	s	3	adv_bloom	subcrown	woody	NA	subcrown
R272	pot	rhizo	R2	R	s	3	adv_bloom	below_subcrown	woody	NA	tap2
R273	pot	rhizo	R2	R	s	3	adv_bloom	nod	nod	NA	nodule
R274	pot	rhizo	R2	R	s	3	adv_bloom	ter	young	NA	tertiary
R276	pot	rhizo	R2	R	s	1	adv_bloom	tap1	young	NA	subtip (taproot)
R277	pot	rhizo	R2	R	s	1	adv_bloom	adjtip	young	NA	subtip (lateral)
R278b	pot	rhizo	R2	R	s	1	adv_bloom	Lat1	woody	NA	lateral1
R279	pot	rhizo	R2	R	s	1	adv_bloom	subcrown	woody	NA	subcrown
R28	pot	rhizo	VE.1	V	c	3	cotyl	t2	young	NA	t2
R280	pot	rhizo	R2	R	s	1	adv_bloom	below_subcrown	woody	NA	tap2
R281	pot	rhizo	R2	R	s	1	adv_bloom	nod	nod	NA	nodule
R282	pot	rhizo	R2	R	s	1	adv_bloom	ter	young	NA	tertiary
R283	pot	rhizo	R2	R	s	2	adv_bloom	tip	young	NA	tip
R284	pot	rhizo	R2	R	s	2	adv_bloom	tap1	young	NA	subtip (taproot)
R285	pot	rhizo	R2	R	s	2	adv_bloom	adjtip	young	NA	subtip (lateral)
R286b	pot	rhizo	R2	R	s	2	adv_bloom	Lat1	woody	NA	lateral1
R287	pot	rhizo	R2	R	s	2	adv_bloom	subcrown	woody	NA	subcrown
R288	pot	rhizo	R2	R	s	2	adv_bloom	below_subcrown	woody	NA	tap2
R289	pot	rhizo	R2	R	s	2	adv_bloom	nod	nod	NA	nodule
R29	pot	rhizo	VE.1	V	c	3	cotyl	t3	young	NA	t3
R290	pot	rhizo	R2	R	s	2	adv_bloom	ter	young	NA	tertiary
R3	pot	rhizo	VE.1	V	s	1	cotyl	t2	young	NA	t2
R30	pot	rhizo	VE.1	V	c	3	cotyl	t4	young	NA	t4
R300a	pot	rhizo	R3	R	s	1	pod	tip	young	NA	tip
R301	pot	rhizo	R3	R	s	1	pod	tap1	young	NA	subtip (taproot)
R302	pot	rhizo	R3	R	s	1	pod	adjtip	young	NA	subtip (lateral)
R303b	pot	rhizo	R3	R	s	1	pod	Lat1	woody	NA	lateral1
R304	pot	rhizo	R3	R	s	1	pod	subcrown	woody	NA	subcrown
R305	pot	rhizo	R3	R	s	1	pod	below_subcrown	woody	NA	tap2
R307	pot	rhizo	R3	R	s	1	pod	nod	nod	NA	nodule
R308	pot	rhizo	R3	R	s	1	pod	ter	young	NA	tertiary
R31	pot	rhizo	VE.4	V	s	1	post-cotyl	tip	young	NA	tip
R32	pot	rhizo	VE.4	V	s	1	post-cotyl	tap1	young	NA	subtip (taproot)
R327	pot	rhizo	R3	R	s	2	pod	tip	young	NA	tip
R328	pot	rhizo	R3	R	s	2	pod	tap1	young	NA	subtip (taproot)
R329	pot	rhizo	R3	R	s	2	pod	adjtip	young	NA	subtip (lateral)
R33	pot	rhizo	VE.4	V	s	1	post-cotyl	adjtip	young	NA	subtip (lateral)
R330	pot	rhizo	R3	R	s	2	pod	Lat1	woody	NA	lateral1
R331	pot	rhizo	R3	R	s	2	pod	subcrown	woody	NA	subcrown
R332	pot	rhizo	R3	R	s	2	pod	below_subcrown	woody	NA	tap2
R334	pot	rhizo	R3	R	s	2	pod	nod	nod	NA	nodule
R335	pot	rhizo	R3	R	s	2	pod	ter	young	NA	tertiary
